transaction_id,account_id,transaction_ts,posting_date,currency,amount,merchant_id,merchant_name,category,country,city,payment_method,status,is_refund,reference
TXN0000421,ACC0013,22-09-2025 19:33:59,2025-09-23,USD,457.49,M004,PowerCo,cafe,NO,Bergen,MOBILE_PAY,PENDING,0,7ed747d4
TXN0001101,ACC0038,2025-07-27 21:56:30,2025-07-27,NOK,-51.51,M006,City Transit,internet,NO,Bergen,MOBILE_PAY,BOOKED,1,f35d3b9f
TXN0001133,ACC0040,2025-11-06 10:19:37,2025-11-08,DKK,163.54,M004,PowerCo,travel,DK,Copenhagen,BANK_TRANSFER,BOOKED,0,6ee97b81
TXN0001117,ACC0024,2025-07-10 07:53:15,2025-07-10,GBP,467.36,M010,GadgetHub,cafe,GB,London,MOBILE_PAY,FAILED,0,8c9c6e03
TXN0000559,ACC0006,2025-06-20 10:38:25,2025/06/22,GBP,-311.23,M003,StreamFlix,shopping,NO,Oslo,BANK_TRANSFER,FAILED,1,59fd5706
TXN0000663,ACC0014,2025-12-02 12:20:59,2025-12-02,EUR,375.74,M001,Nordic Grocers,Dining,GB,Manchester,CARD,BOOKED,FALSE,833da169
TXN0000029,ACC0029,2025-07-19 07:03:36,2025-07-20,USD,499.79,M009,MegaMart,Groceries,GB,Edinburgh,CASH,BOOKED,0,815fe85d
TXN0000314,ACC0025,2025-08-11 05:49:29,2025-08-11,SEK,497.67,M004,PowerCo,Electronics,SE,Malmo,BANK_TRANSFER,PENDING,0,3ade5861
TXN0000388,ACC0045,06-08-2025 03:40:15,2025-08-08,EUR,488.22,M006,City Transit,income,GB,Edinburgh,BANK_TRANSFER,FAILED,FALSE,f72892b7
TXN0001166,ACC0035,2025-06-06 13:37:24,2025-06-06,GBP,257.77,M009,MegaMart,healthcare,GB,London,CASH,PENDING,FALSE,bda92055
TXN0000192,ACC0025,2025-09-17 08:53:05,2025-09-17,EUR,-117.12,M010,GadgetHub,grocery,SE,Gothenburg,CASH,BOOKED,1,3af256e0dup
TXN0000102,ACC0045,2025-07-22 12:46:06,2025-07-24,EUR,347.96,M007,SkyFly,shopping,GB,Manchester,CARD,PENDING,FALSE,efa02eb2
TXN0000412,ACC0009,2025-11-18 07:38:13,2025-11-18,NOK,248.47,M004,PowerCo,healthcare,GB,Edinburgh,CARD,BOOKED,0,b7e9b978
TXN0001024,ACC0017,2025-07-29 08:52:32,2025-07-30,USD,31.58,M002,Cafe Central,utilities,DK,Copenhagen,MOBILE_PAY,BOOKED,0,1181dbcb
TXN0000137,ACC0039,2025-06-19 15:01:23,2025-06-21,SEK,331.92,M002,Cafe Central,streaming,GB,Edinburgh,CARD,PENDING,0,4d33933f
TXN0000123,ACC0022,19-08-2025 19:52:09,2025-08-20,DKK,-214.95,M009,MegaMart,entertainment,SE,Stockholm,MOBILE_PAY,BOOKED,1,f6306592
TXN0000828,ACC0026,2025-08-03 09:14:25,2025-08-03,NOK,223.28,M001,Nordic Grocers,power,SE,Stockholm,CASH,PENDING,0,ca41347f
TXN0000052,ACC0024,23-10-2025 19:13:56,2025-10-24,SEKK,168.01,M010,GadgetHub,travel,SE,Gothenburg,MOBILE_PAY,PENDING,0,4b9c429c
TXN0000260,ACC0006,2025-09-01 11:02:13,2025-09-02,NOK,431.72,M007,SkyFly,salary,NO,Oslo,BANK_TRANSFER,PENDING,FALSE,b3adf784
TXN0000216,ACC0040,21-06-2025 11:53:30,2025-06-23,GBP,364.03,M008,HealthPlus,travel,GB,Manchester,CASH,PENDING,FALSE,1f51909f
TXN0000894,ACC0008,2025-09-28 21:52:32,2025-09-29,DKK,54.80,M009,MegaMart,transport,DE,Hamburg,MOBILE_PAY,FAILED,FALSE,775d0bc8
TXN0000091,ACC0009,2025-07-04 21:40:09,2025-07-05,NOK,390.03,M007,SkyFly,restaurang,DE,Munich,MOBILE_PAY,BOOKED,FALSE,75c54898
TXN0000581,ACC0016,2025-09-30 04:35:34,2025-10-01,SEK,487.61,M001,Nordic Grocers,transport,DK,Aarhus,CASH,PENDING,0,f99d009a
TXN0001164,ACC0034,2025/09/20 04:54,2025-09-21,GBP,434.17,M006,City Transit,restaurant,DK,Aarhus,MOBILE_PAY,BOOKED,0,e0da80a7
TXN0000486,ACC0022,2025/12/07 06:28,2025-12-08,DKK,415.38,M006,City Transit,hotel,GB,Edinburgh,BANK_TRANSFER,BOOKED,FALSE,94b9ed25
TXN0000881,ACC0037,2025-06-27 23:13:41,2025-06-27,SEK,456.98,M007,SkyFly,internet,NO,Oslo,MOBILE_PAY,FAILED,0,ee662d1c
TXN0000304,ACC0002,2025-08-17 07:57:34,2025-08-17,USD,-190.70,M003,StreamFlix,uber,NO,Oslo,CASH,BOOKED,1,3a69e7bb
TXN0000544,ACC0020,2025-11-23 05:28:45,2025-11-24,DKK,401.05,M003,StreamFlix,GROCERY,DE,Hamburg,BANK_TRANSFER,PENDING,FALSE,183f5e95
TXN0000603,ACC0030,2025/06/16 20:05,2025/06/17,DKK,272.65,M007,SkyFly,hotel,DK,Copenhagen,BANK_TRANSFER,FAILED,FALSE,602fc9d8
TXN0000267,ACC0036,2025-06-16 23:18:45,2025-06-17,GBP,-250.61,M006,City Transit,Books,DE,Hamburg,CARD,PENDING,1,8bd988ad
TXN0000019,ACC0015,2025-10-27 18:08:51,2025-10-29,GBP,471.49,M007,SkyFly,mat,NO,Bergen,CARD,FAILED,0,cd7f78df
TXN0000701,ACC0005,2025-09-08 08:33:01,2025/09/09,DKK,92.10,M010,GadgetHub,cafe,SE,Gothenburg,BANK_TRANSFER,FAILED,0,5352b3f0
TXN0000737,ACC0004,2025-08-03 10:42:51,2025-08-05,USD,69.87,M007,SkyFly,travel,NO,Oslo,BANK_TRANSFER,FAILED,0,c3660707
TXN0000575,ACC0050,2025-06-16 07:28:11,2025-06-18,USD,464.67,M009,MegaMart,Electronics,DK,Copenhagen,CARD,PENDING,FALSE,7a7e8917
TXN0000108,ACC0018,2025-07-03 11:10:52,2025/07/05,EUR,59.76,M009,MegaMart,restaurant,DK,Odense,BANK_TRANSFER,BOOKED,FALSE,19530405
TXN0000414,ACC0038,2025-10-28 04:47:09,2025-10-28,NOK,330.88,M007,SkyFly,health,GB,London,MOBILE_PAY,BOOKED,0,
TXN0000117,ACC0025,2025-09-14 00:38:35,2025-09-15,SEK,267.78,M005,BookBarn,flight,DE,Berlin,CARD,BOOKED,FALSE,17cb557a
TXN0000396,ACC0014,2025-07-05 16:05:37,2025-07-06,USD,156.04,M009,MegaMart,uber,DK,Odense,CASH,PENDING,FALSE,
TXN0000802,ACC0033,2025/10/31 05:33,2025-11-02,USD,395.47,M007,SkyFly,shopping,SE,Malmo,MOBILE_PAY,FAILED,FALSE,e2516b01
TXN0000492,ACC0024,2025/11/11 19:44,2025-11-13,USD,284.33,M008,HealthPlus,Groceries,GB,Edinburgh,MOBILE_PAY,FAILED,0,
TXN0000958,ACC0017,2025/10/22 12:50,2025/10/22,EUR,393.97,M006,City Transit,grocery,SE,Stockholm,CASH,PENDING,FALSE,11619821
TXN0000156,ACC0009,2025/10/07 18:23,2025-10-08,USD,364.26,M008,HealthPlus,restaurang,DK,Copenhagen,BANK_TRANSFER,PENDING,0,0c618f4b
TXN0000048,ACC0048,2025-11-15 05:59:44,2025-11-16,EUR,-431.33,M009,MegaMart,flight,SE,Gothenburg,CARD,PENDING,1,cd93c0a5
TXN0000014,ACC0013,2025-11-26 18:20:13,2025-11-26,DKK,469.74,M004,PowerCo,restaurant,DK,Aarhus,MOBILE_PAY,FAILED,FALSE,85813dba
TXN0000174,ACC0021,2025-10-02 01:31:09,2025-10-04,DKK,64.27,M007,SkyFly,hotel,DE,Munich,MOBILE_PAY,BOOKED,0,8265c332
TXN0000707,ACC0026,2025-08-02 23:50:08,2025-08-02,EUR,231.33,,Cafe Central,mat,DK,Aarhus,CASH,PENDING,FALSE,1c7c42cb
TXN0000773,ACC0024,2025-10-01 13:49:07,2025/10/02,NOK,384.86,M004,PowerCo,restaurang,DK,Odense,CARD,FAILED,0,64c03372
TXN0000857,ACC0040,2025-08-12 17:40:45,2025-08-13,SEK,488.07,M004,PowerCo,streaming,DE,Berlin,BANK_TRANSFER,FAILED,0,44c00029
TXN0000010,ACC0008,2025-09-04 14:53:36,2025-09-04,GBP,229.70,M010,GadgetHub,streaming,NO,Trondheim,BANK_TRANSFER,PENDING,FALSE,20e32684
TXN0000633,ACC0018,2025/09/24 23:37,2025-09-24,USD,394.23,M009,MegaMart,shopping,DE,Munich,MOBILE_PAY,PENDING,FALSE,954932da
TXN0000751,ACC0028,2025-11-11 23:38:23,2025-11-13,EUR,162.24,M001,Nordic Grocers,utilities,NO,Trondheim,MOBILE_PAY,BOOKED,0,
TXN0000750,ACC0045,2025-06-25 20:11:10,2025-06-25,NOK,78.41,M004,PowerCo,Other,DE,Munich,CARD,BOOKED,FALSE,83563017
TXN0000493,ACC0022,2025-07-09 08:55:18,2025-07-10,DKK,384.77,M008,HealthPlus,flight,DK,Copenhagen,CARD,PENDING,FALSE,acb5f2ab
TXN0000451,ACC0049,2025-07-08 05:09:08,2025-07-09,EUR,112.40,M007,SkyFly,salary,DE,Hamburg,CASH,PENDING,0,7bba0c27
TXN0000295,ACC0035,2025/07/02 12:21,2025-07-04,NOK,419.89,M001,Nordic Grocers,fee,SE,Gothenburg,MOBILE_PAY,FAILED,0,03eb6e07
TXN0000918,ACC0012,2025-12-12 09:54:18,2025-12-13,GBP,125.26,M001,Nordic Grocers,salary,GB,London,CARD,FAILED,FALSE,f78b5f7b
TXN0000065,ACC0011,04-10-2025 07:24:58,2025-10-04,NOK,87.26,M005,BookBarn,shopping,NO,Trondheim,CARD,FAILED,0,a102186d
TXN0000924,ACC0001,2025-08-23 14:06:12,2025-08-25,DKK,494.81,M002,Cafe Central,income,GB,Edinburgh,MOBILE_PAY,BOOKED,FALSE,
TXN0000876,ACC0029,2025-09-12 01:13:31,2025/09/13,DKK,379.72,M006,City Transit,Books,GB,Edinburgh,MOBILE_PAY,BOOKED,0,cd9c6dac
TXN0000476,ACC0019,2025-10-08 14:47:57,2025-10-10,SEK,409.24,M009,MegaMart,restaurang,DE,Hamburg,BANK_TRANSFER,BOOKED,FALSE,4a25aed0
TXN0000994,ACC0003,2025/06/30 07:52,2025-07-02,GBP,81.52,M003,StreamFlix,Books,SE,Stockholm,MOBILE_PAY,BOOKED,FALSE,
TXN0000944,ACC0011,2025-07-09 12:41:33,2025-07-09,EUR,238.47,M001,Nordic Grocers,uber,SE,Gothenburg,BANK_TRANSFER,PENDING,0,0c74b163
TXN0000653,ACC0014,2025-07-17 19:06:27,2025-07-18,DKK,263.26,M004,PowerCo,fee,DK,Aarhus,MOBILE_PAY,BOOKED,0,f0118cdd
TXN0000498,ACC0005,2025-08-06 13:00:56,2025-08-07,SEK,357.38,M006,City Transit,restaurant,DK,Copenhagen,CASH,FAILED,0,4c6e99a7
TXN0000692,ACC0006,20-10-2025 10:47:44,2025-10-20,EUR,-444.96,M001,Nordic Grocers,travel,DK,Copenhagen,CASH,FAILED,1,23ec304a
TXN0000088,ACC0025,2025-12-02 20:41:20,2025-12-02,SEK,137.01,M008,HealthPlus,travel,DE,Berlin,CARD,BOOKED,FALSE,815a064c
TXN0000232,ACC0001,2025-11-14 06:16:40,2025-11-14,GBP,214.00,M010,GadgetHub,transit,DE,Berlin,CARD,BOOKED,0,3ef720d6
TXN0001042,ACC0050,2025-12-25 16:39:40,2025-12-25,EUR,-214.69,M009,MegaMart,cafe,DE,Berlin,CASH,BOOKED,1,dfdf0c8a
TXN0000320,ACC0016,2025/11/14 09:53,2025-11-16,EUR,140.51,M006,City Transit,health,NO,Trondheim,MOBILE_PAY,FAILED,0,1d907aa7
TXN0000284,ACC0020,2025-07-03 17:33:18,2025-07-04,DKK,445.38,M003,StreamFlix,internet,SE,Malmo,CASH,FAILED,0,879d31b8
TXN0001199,ACC0006,2025-06-12 23:01:23,2025-06-12,GBP,275.56,M008,HealthPlus,income,GB,Manchester,BANK_TRANSFER,FAILED,0,be2d9c43
TXN0001074,ACC0048,2025-11-20 10:44:44,2025-11-20,GBP,145.13,M004,PowerCo,income,NO,Oslo,CARD,PENDING,0,67146788
TXN0001152,ACC0010,2025-11-02 21:52:57,2025-11-04,EUR,39.12,M007,SkyFly,health,DK,Copenhagen,CARD,PENDING,FALSE,d1acc062
TXN0000787,ACC0017,2025/10/01 19:19,2025-10-03,DKK,129.90,M007,SkyFly,cafe,DE,Berlin,CARD,PENDING,FALSE,1479945b
TXN0000715,ACC0036,2025-09-18 01:43:26,2025-09-18,DKK,322.12,M005,BookBarn,fees,DK,Aarhus,MOBILE_PAY,BOOKED,0,0da47eee
TXN0001186,ACC0039,2025/06/03 00:30,2025-06-04,NOK,107.36,M006,City Transit,transit,DK,Odense,CASH,PENDING,0,d06957df
TXN0000783,ACC0004,2025-12-05 11:17:15,2025-12-06,DKK,433.04,M003,StreamFlix,fees,SE,Malmo,MOBILE_PAY,BOOKED,FALSE,655b2f94
TXN0000922,ACC0027,2025-07-08 08:28:35,2025-07-08,NOK,67.14,M002,Cafe Central,utilities,GB,London,CARD,PENDING,FALSE,5038df04
TXN0000600,ACC0006,2025-10-19 09:06:51,2025-10-20,GBP,156.44,M007,SkyFly,transit,DK,Odense,CASH,PENDING,FALSE,c11f1d67
TXN0000616,ACC0016,2025/09/29 16:19,2025-09-30,SEK,33.18,M001,Nordic Grocers,power,SE,Stockholm,MOBILE_PAY,FAILED,FALSE,c6226a01
TXN0000724,ACC0037,2025-10-11 21:43:48,2025-10-12,DKK,239.63,M002,Cafe Central,internet,DE,Hamburg,MOBILE_PAY,PENDING,0,
TXN0000499,ACC0037,15-12-2025 06:28:59,2025-12-15,DKK,-365.73,,GadgetHub,mat,DK,Odense,CARD,FAILED,1,7550f3a2
TXN0000370,ACC0026,2025/11/06 20:27,2025-11-08,USD,311.07,M009,MegaMart,hotel,SE,Malmo,MOBILE_PAY,PENDING,0,70439c5c
TXN0000855,ACC0034,2025-10-22 11:25:05,2025-10-24,EUR,187.67,M004,PowerCo,Groceries,GB,Manchester,MOBILE_PAY,PENDING,0,f54185c5
TXN0000856,ACC0011,2025-11-07 12:16:17,2025-11-07,GBP,294.82,M007,SkyFly,income,NO,Oslo,MOBILE_PAY,FAILED,0,76afcefe
TXN0000385,ACC0034,2025-08-24 10:54:21,2025-08-25,DKK,211.78,M002,Cafe Central,salary,DK,Aarhus,CARD,PENDING,FALSE,5ac70900
TXN0001081,ACC0004,2025-12-04 21:52:05,2025-12-05,NOK,268.38,M004,PowerCo,hotel,DE,Hamburg,BANK_TRANSFER,FAILED,FALSE,d128ae47
TXN0000522,ACC0005,2025-12-09 19:41:47,2025-12-11,GBP,349.64,M002,Cafe Central,fee,SE,Malmo,CASH,FAILED,FALSE,28aebfbf
TXN0000249,ACC0025,2025-11-12 16:49:21,2025-11-12,USD,193.62,M002,Cafe Central,Other,DK,Odense,CARD,BOOKED,0,9e7d9d62
TXN0000202,ACC0022,2025-12-22 16:29:15,2025-12-22,NOK,131.31,M001,Nordic Grocers,restaurang,GB,Edinburgh,CASH,PENDING,FALSE,b4fff579
TXN0000983,ACC0045,2025-11-29 12:51:42,2025-12-01,EUR,280.43,M010,GadgetHub,flight,SE,Stockholm,CARD,BOOKED,FALSE,b1409a05
TXN0000643,ACC0023,03-08-2025 07:18:51,2025-08-05,SEK,140.04,M001,Nordic Grocers,taxi,DE,Munich,CARD,BOOKED,FALSE,6160df26
TXN0001175,ACC0011,2025/12/16 15:28,2025/12/16,GBP,285.04,M006,City Transit,hotel,GB,Edinburgh,CASH,PENDING,FALSE,bb0aa7c4
TXN0000239,ACC0008,2025-06-10 16:19:11,2025-06-11,GBP,170.66,M006,City Transit,travel,DK,Aarhus,BANK_TRANSFER,FAILED,FALSE,f14390c7
TXN0000719,ACC0031,2025/08/26 05:44,2025-08-26,GBP,256.70,M007,SkyFly,Groceries,GB,Manchester,CARD,FAILED,0,f356c130
TXN0000142,ACC0005,2025-12-08 22:29:28,2025/12/09,SEK,159.40,M009,MegaMart,healthcare,NO,Oslo,MOBILE_PAY,BOOKED,FALSE,03cd1029
TXN0000962,ACC0024,01-09-2025 23:30:48,2025-09-03,NOK,341.30,M003,StreamFlix,transit,SE,Gothenburg,MOBILE_PAY,PENDING,0,8ddf6060
TXN0000247,ACC0007,2025/06/13 17:39,2025-06-15,GBP,335.96,M002,Cafe Central,books,SE,Stockholm,BANK_TRANSFER,FAILED,0,
TXN0000143,ACC0033,2025-08-20 07:59:36,2025/08/21,USD,380.14,M001,Nordic Grocers,travel,DE,Munich,CASH,FAILED,0,ab9b315f
TXN0000477,ACC0026,2025-11-20 00:18:08,2025-11-20,EUR,446.84,M006,City Transit,power,DE,Munich,MOBILE_PAY,FAILED,FALSE,46469530dup
TXN0000153,ACC0025,2025/11/01 10:43,2025-11-01,NOK,63.37,M004,PowerCo,Electronics,NO,Bergen,CASH,BOOKED,0,
TXN0000082,ACC0023,2025/10/27 00:37,2025-10-28,GBP,483.96,M003,StreamFlix,Fees,NO,Oslo,BANK_TRANSFER,PENDING,FALSE,4c786a2e
TXN0000590,ACC0013,2025-08-12 18:25:56,2025-08-13,GBP,445.35,M005,BookBarn,utilities,GB,Edinburgh,CASH,BOOKED,0,abf7af7d
TXN0001106,ACC0041,2025-06-14 01:35:54,2025-06-15,GBP,347.65,M002,Cafe Central,Books,DE,Hamburg,BANK_TRANSFER,BOOKED,FALSE,c627e7e2
TXN0000504,ACC0041,2025-11-13 13:34:58,2025-11-14,SEK,95.66,M008,HealthPlus,health,DK,Aarhus,CASH,FAILED,0,5a1019c6
TXN0000709,ACC0028,2025-07-16 14:54:37,2025-07-16,GBP,370.47,M003,StreamFlix,Books,DK,Odense,CARD,FAILED,0,4792c876
TXN0000718,ACC0034,2025-10-30 18:11:51,2025-11-01,DKK,454.95,M003,StreamFlix,Other,NO,Bergen,CASH,FAILED,0,4e76509b
TXN0001075,ACC0025,2025/06/09 18:15,2025/06/11,GBP,162.91,M010,GadgetHub,power,SE,Gothenburg,BANK_TRANSFER,BOOKED,FALSE,924a7f11
TXN0000333,ACC0026,2025-06-04 13:38:35,2025-06-05,USD,138.18,M004,PowerCo,Electronics,NO,Trondheim,CARD,FAILED,0,f6f9c1a4
TXN0001200,ACC0050,2025/06/01 10:50,2025-06-01,DKK,459.69,M008,,GROCERY,GB,London,MOBILE_PAY,FAILED,FALSE,d751f178
TXN0000402,ACC0041,2025-09-29 17:42:45,2025-09-29,NOK,-196.58,,PowerCo,cafe,DE,Berlin,CARD,PENDING,1,9cf578e3
TXN0000037,ACC0050,2025-08-29 08:51:31,2025-08-30,EUR,-366.72,M010,GadgetHub,transport,SE,Malmo,CASH,PENDING,1,9ad564b8
TXN0000759,ACC0026,2025-11-03 10:16:19,2025/11/05,SEK,437.72,M009,MegaMart,streaming,DK,Odense,BANK_TRANSFER,BOOKED,0,af97f83b
TXN0000242,ACC0001,2025-11-07 00:26:59,2025-11-08,NOK,417.62,M008,HealthPlus,transport,NO,Oslo,CASH,FAILED,FALSE,e700489f
TXN0000746,ACC0038,2025-09-20 00:11:56,2025/09/21,GBP,323.58,M004,PowerCo,Books,DE,Hamburg,BANK_TRANSFER,PENDING,0,951dc2a8
TXN0000888,ACC0026,2025-07-17 08:14:17,2025-07-19,EUR,475.64,M007,SkyFly,grocery,SE,Gothenburg,CASH,FAILED,FALSE,caabfb35
TXN0000107,ACC0016,2025-12-12 00:26:48,2025-12-12,SEK,-8.87,M006,City Transit,income,DK,Odense,MOBILE_PAY,BOOKED,1,1c9ddc24
TXN0000214,ACC0010,21-09-2025 00:44:36,2025-09-23,SEK,312.38,M002,Cafe Central,Other,GB,London,MOBILE_PAY,PENDING,FALSE,decb75d0
TXN0000316,ACC0011,2025/08/06 06:00,2025-08-08,USD,446.56,M002,Cafe Central,restaurant,SE,Malmo,MOBILE_PAY,PENDING,0,e13c9e10
TXN0001153,ACC0045,2025-11-03 21:29:56,2025/11/04,NOK,120.63,M006,City Transit,utilities,SE,Stockholm,CASH,BOOKED,FALSE,82c02280
TXN0000777,ACC0011,2025-12-29 12:59:35,2025-12-31,SEK,-312.48,M006,City Transit,restaurang,GB,Manchester,MOBILE_PAY,BOOKED,1,a6a9d81b
TXN0001198,ACC0012,2025/09/26 06:35,2025-09-27,DKK,230.33,M009,MegaMart,travel,NO,Oslo,MOBILE_PAY,PENDING,FALSE,34a75a35
TXN0000980,ACC0044,2025-12-10 15:24:26,2025-12-12,GBP,448.37,M004,PowerCo,hotel,NO,Bergen,CARD,PENDING,FALSE,db68697b
TXN0000350,ACC0043,2025-11-14 16:03:04,2025-11-16,SEK,214.30,M009,MegaMart,transit,NO,Oslo,CARD,PENDING,0,21cd977a
TXN0000561,ACC0009,2025/09/02 22:54,2025-09-03,USD,2.29,M008,HealthPlus,cafe,NO,Oslo,CARD,BOOKED,0,fccebc8d
TXN0001079,ACC0020,2025-07-15 14:31:43,2025-07-15,EUR,170.56,,MegaMart,grocery,SE,Gothenburg,CARD,BOOKED,FALSE,04502fb9
TXN0000967,ACC0009,2025-07-05 06:29:20,2025-07-06,NOK,43.14,M001,Nordic Grocers,Electronics,GB,Edinburgh,CARD,BOOKED,0,1312c4d0
TXN0000393,ACC0047,2025-06-02 04:57:29,2025/06/04,NOK,72.63,M008,HealthPlus,entertainment,NO,Bergen,BANK_TRANSFER,BOOKED,FALSE,
TXN0000592,ACC0008,2025-09-17 21:37:08,2025/09/18,SEK,271.46,M006,City Transit,restaurang,DK,Odense,BANK_TRANSFER,BOOKED,FALSE,0f6da327
TXN0000089,ACC0005,2025-09-25 05:27:46,2025-09-25,GBP,419.66,M009,MegaMart,transport,SE,Malmo,CASH,BOOKED,0,ca08ef7b
TXN0001001,ACC0035,2025-08-25 09:31:01,2025/08/27,EUR,331.34,M007,SkyFly,restaurang,DK,Odense,BANK_TRANSFER,FAILED,0,1ca78218
TXN0000968,ACC0002,2025-12-13 16:52:08,2025-12-14,NOK,180.36,M004,PowerCo,travel,DE,Hamburg,BANK_TRANSFER,BOOKED,0,539cf28c
TXN0000080,ACC0049,09-06-2025 19:54:30,2025-06-10,NOK,405.12,M007,SkyFly,entertainment,GB,Manchester,BANK_TRANSFER,FAILED,0,076231e1
TXN0000231,ACC0013,2025-10-09 10:44:03,2025-10-11,USD,289.90,M003,StreamFlix,income,NO,Bergen,CASH,FAILED,0,72df6fe8
TXN0000842,ACC0003,2025-08-25 14:02:21,2025-08-25,GBP,199.30,M001,Nordic Grocers,income,SE,Gothenburg,CASH,PENDING,0,ebd8de4c
TXN0001144,ACC0010,2025-06-15 06:30:53,2025-06-15,SEK,276.40,M004,PowerCo,hotel,DE,Hamburg,MOBILE_PAY,BOOKED,0,24f0da0e
TXN0000450,ACC0030,2025-06-01 07:51:33,2025/06/01,USD,4.46,M005,BookBarn,internet,GB,London,BANK_TRANSFER,FAILED,FALSE,3fc6fce7
TXN0000730,ACC0038,2025-11-28 22:59:02,2025-11-28,SEK,306.64,M003,StreamFlix,internet,GB,Manchester,CARD,PENDING,FALSE,9dd79a89
TXN0000605,ACC0013,2025-12-22 08:39:22,2025/12/23,SEK,273.10,M007,SkyFly,Dining,SE,Stockholm,MOBILE_PAY,FAILED,0,6726f64c
TXN0000129,ACC0013,2025-06-23 09:07:38,2025-06-24,USD,480.34,M004,PowerCo,healthcare,SE,Malmo,CASH,PENDING,0,bb58290c
TXN0000427,ACC0028,2025-12-09 13:28:29,2025/12/09,DKK,353.99,M002,Cafe Central,power,SE,Gothenburg,CASH,PENDING,0,1d3a6107
TXN0001030,ACC0027,29-09-2025 10:17:01,2025-09-30,SEK,99.41,M004,PowerCo,hotel,SE,Malmo,CARD,BOOKED,FALSE,da2b6b53
TXN0000145,ACC0047,2025-07-20 20:36:17,2025-07-22,USD,207.55,M009,MegaMart,entertainment,DK,Aarhus,CASH,PENDING,0,9a6669b4
TXN0000872,ACC0022,2025-08-01 09:24:30,2025-08-02,NOK,-23.41,M008,HealthPlus,cafe,DE,Munich,MOBILE_PAY,BOOKED,1,ebf9a884
